team,year,won,lost,tied,notes,scorecard_name
Air_Force,2023,9,4,NA,,United States Air Force Academy
Air_Force,2022,10,3,NA,,United States Air Force Academy
Air_Force,2021,10,3,NA,,United States Air Force Academy
Air_Force,2020,3,3,NA,,United States Air Force Academy
Air_Force,2019,11,2,NA,,United States Air Force Academy
Air_Force,2018,5,7,NA,,United States Air Force Academy
Air_Force,2017,5,7,NA,,United States Air Force Academy
Air_Force,2016,10,3,NA,,United States Air Force Academy
Air_Force,2015,8,6,NA,,United States Air Force Academy
Air_Force,2014,10,3,NA,,United States Air Force Academy
Air_Force,2013,2,10,NA,,United States Air Force Academy
Air_Force,2012,6,7,NA,,United States Air Force Academy
Air_Force,2011,7,6,NA,,United States Air Force Academy
Air_Force,2010,9,4,NA,,United States Air Force Academy
Air_Force,2009,8,5,NA,,United States Air Force Academy
Air_Force,2008,8,5,NA,,United States Air Force Academy
Air_Force,2007,9,4,NA,,United States Air Force Academy
Air_Force,2006,4,8,NA,,United States Air Force Academy
Air_Force,2005,4,7,NA,,United States Air Force Academy
Air_Force,2004,5,6,NA,,United States Air Force Academy
Air_Force,2003,7,5,NA,,United States Air Force Academy
Air_Force,2002,8,5,NA,,United States Air Force Academy
Air_Force,2001,6,6,NA,,United States Air Force Academy
Air_Force,2000,9,3,NA,,United States Air Force Academy
Air_Force,1999,6,5,NA,,United States Air Force Academy
Air_Force,1998,12,1,NA,,United States Air Force Academy
Air_Force,1997,10,3,NA,,United States Air Force Academy
Air_Force,1996,6,5,NA,,United States Air Force Academy
Air_Force,1995,8,5,NA,,United States Air Force Academy
Air_Force,1994,8,4,NA,,United States Air Force Academy
Air_Force,1993,4,8,NA,,United States Air Force Academy
Air_Force,1992,7,5,NA,,United States Air Force Academy
Air_Force,1991,10,3,NA,,United States Air Force Academy
Air_Force,1990,7,5,NA,,United States Air Force Academy
Air_Force,1989,8,4,1,,United States Air Force Academy
Air_Force,1988,5,7,NA,,United States Air Force Academy
Air_Force,1987,9,4,NA,,United States Air Force Academy
Air_Force,1986,6,5,NA,,United States Air Force Academy
