UNITID,OPEID,INSTNM,CITY,Year,UGDS,MAIN,NUMBRANCH,HIGHDEG,REGION,LOCALE,LOCALE2,CCSIZSET,PCTPELL,AVGFACSAL,PFTFAC,PRGMOFR,BOOKSUPPLY,ROOMBOARD_ON,ROOMBOARD_OFF,OTHEREXPENSE_ON,OTHEREXPENSE_OFF,ADMCON7,MDCOST_ALL,MDEARN_ALL,UGDS_WOMEN,UGDS_MEN,ADM_RATE,SAT_AVG,ACTCMMID,RET_FT4,C150_4,MD_EARN_WNE_P10,TUITIONFEE_IN,TUITIONFEE_OUT,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,OPENADMP
100663,00105200,University of Alabama at Birmingham,Birmingham,1996,9889,1,2,4,5,NA,NA,NA,NA,5988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5678,0.4322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100751,00105100,The University of Alabama,Tuscaloosa,1996,13948,1,1,4,5,NA,NA,NA,NA,5595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5233,0.4767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100858,00100900,Auburn University,Auburn,1996,18337,1,1,4,5,NA,NA,NA,NA,5519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4793,0.5207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102094,00105700,University of South Alabama,Mobile,1996,4777,1,2,4,5,NA,NA,NA,NA,5294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5579,0.4421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102368,00104700,Troy University,Troy,1996,2495,1,2,4,5,NA,NA,NA,NA,4196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5864,0.4136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104151,00108100,Arizona State University Campus Immersion,Tempe,1996,30680,1,3,4,6,NA,NA,NA,NA,6228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5056,0.4944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104179,00108300,University of Arizona,Tucson,1996,25158,1,1,4,6,NA,NA,NA,NA,6590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5065,0.4935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106397,00110800,University of Arkansas,Fayetteville,1996,11524,1,1,4,5,NA,NA,NA,NA,5469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4736,0.5264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106458,00109000,Arkansas State University,Jonesboro,1996,8762,1,3,4,5,NA,NA,NA,NA,4722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5544,0.4456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110556,00114700,California State University-Fresno,Fresno,1996,14100,1,2,4,8,NA,NA,NA,NA,6663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5356,0.4644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110565,00113700,California State University-Fullerton,Fullerton,1996,20090,1,1,4,8,NA,NA,NA,NA,6554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5671,0.4329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110583,00113900,California State University-Long Beach,Long Beach,1996,22052,1,1,4,8,NA,NA,NA,NA,6552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5509,0.4491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110635,00131200,University of California-Berkeley,Berkeley,1996,21226,1,1,4,8,NA,NA,NA,NA,8512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4865,0.5135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110662,00131500,University of California-Los Angeles,Los Angeles,1996,23912,1,1,4,8,NA,NA,NA,NA,8068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5194,0.4806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120883,00132900,University of the Pacific,Stockton,1996,1388,1,1,4,8,NA,NA,NA,NA,5989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.554,0.446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122409,00115100,San Diego State University,San Diego,1996,24239,1,1,4,8,NA,NA,NA,NA,6541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.549,0.451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122755,00115500,San Jose State University,San Jose,1996,20489,1,1,4,8,NA,NA,NA,NA,6485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5134,0.4866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123800,00129400,Southwestern College,Chula Vista,1996,11923,1,1,2,8,NA,NA,NA,NA,6230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5406,0.4594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123961,00132800,University of Southern California,Los Angeles,1996,14586,1,1,4,8,NA,NA,NA,NA,7735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4796,0.5204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126614,00137000,University of Colorado Boulder,Boulder,1996,20459,1,1,4,7,NA,NA,NA,NA,6519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4762,0.5238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126775,00134800,Colorado School of Mines,Golden,1996,2398,1,1,4,7,NA,NA,NA,NA,7096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.236,0.764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126818,00135000,Colorado State University-Fort Collins,Fort Collins,1996,18139,1,1,4,7,NA,NA,NA,NA,6573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5086,0.4914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127060,00137100,University of Denver,Denver,1996,3338,1,1,4,7,NA,NA,NA,NA,6171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5824,0.4176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127741,00134900,University of Northern Colorado,Greeley,1996,8594,1,1,4,7,NA,NA,NA,NA,4912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5911,0.4089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128328,00136900,United States Air Force Academy,USAF Academy,1996,4083,1,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1585,0.8415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129020,00141700,University of Connecticut,Storrs,1996,13256,1,1,4,1,NA,NA,NA,NA,7876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5164,0.4836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130794,00142600,Yale University,New Haven,1996,5366,1,1,4,1,NA,NA,NA,NA,8753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4879,0.5121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131469,00144400,George Washington University,Washington,1996,6857,1,1,4,2,NA,NA,NA,NA,7663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5373,0.4627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131496,00144500,Georgetown University,Washington,1996,6040,1,1,4,2,NA,NA,NA,NA,7580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5214,0.4786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132903,00395400,University of Central Florida,Orlando,1996,21954,1,1,4,5,NA,NA,NA,NA,5617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5388,0.4612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133669,00148100,Florida Atlantic University,Boca Raton,1996,13054,1,1,4,5,NA,NA,NA,NA,5798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5888,0.4112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133951,00963500,Florida International University,Miami,1996,20389,1,1,4,5,NA,NA,NA,NA,5013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5667,0.4333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134097,00148900,Florida State University,Tallahassee,1996,22356,1,1,4,5,NA,NA,NA,NA,6155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5475,0.4525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134130,00153500,University of Florida,Gainesville,1996,28463,1,1,4,5,NA,NA,NA,NA,6331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4895,0.5105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135726,00153600,University of Miami,Coral Gables,1996,8377,1,1,4,5,NA,NA,NA,NA,6572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5287,0.4713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137351,00153700,University of South Florida,Tampa,1996,24313,1,1,4,5,NA,NA,NA,NA,5408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5758,0.4242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139755,00156900,Georgia Institute of Technology-Main Campus,Atlanta,1996,9453,1,1,4,5,NA,NA,NA,NA,7707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2775,0.7225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139931,00157200,Georgia Southern University,Statesboro,1996,12550,1,1,4,5,NA,NA,NA,NA,4758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5411,0.4589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139940,00157400,Georgia State University,Atlanta,1996,15641,1,1,4,5,NA,NA,NA,NA,6590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6028,0.3972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139959,00159800,University of Georgia,Athens,1996,22673,1,1,4,5,NA,NA,NA,NA,6432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5361,0.4639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141574,00161000,University of Hawaii at Manoa,Honolulu,1996,12216,1,1,4,8,NA,NA,NA,NA,6559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5372,0.4628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142115,00161600,Boise State University,Boise,1996,11899,1,1,4,7,NA,NA,NA,NA,5003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5684,0.4316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142285,00162600,University of Idaho,Moscow,1996,7811,1,1,4,7,NA,NA,NA,NA,5477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4416,0.5584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144050,00177400,University of Chicago,Chicago,1996,3559,1,1,4,3,NA,NA,NA,NA,8702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4594,0.5406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145637,00177500,University of Illinois Urbana-Champaign,Champaign,1996,26311,1,1,4,3,NA,NA,NA,NA,7234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4581,0.5419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146719,00171000,Loyola University Chicago,Chicago,1996,6632,1,1,4,3,NA,NA,NA,NA,6802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6226,0.3774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147703,00173700,Northern Illinois University,Dekalb,1996,15370,1,1,4,3,NA,NA,NA,NA,5509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5429,0.4571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147767,00173900,Northwestern University,Evanston,1996,7645,1,1,4,3,NA,NA,NA,NA,8837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5128,0.4872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150136,00178600,Ball State University,Muncie,1996,16994,1,1,4,3,NA,NA,NA,NA,4998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5275,0.4725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151351,00180900,Indiana University-Bloomington,Bloomington,1996,25451,1,1,4,3,NA,NA,NA,NA,6541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5448,0.4552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152080,00184000,University of Notre Dame,Notre Dame,1996,7850,1,1,4,3,NA,NA,NA,NA,7920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4447,0.5553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152390,00183600,Saint Mary's College,Notre Dame,1996,1382,1,1,3,3,NA,NA,NA,NA,4922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9986,0.0014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153269,00186000,Drake University,Des Moines,1996,3630,1,1,4,4,NA,NA,NA,NA,5732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6039,0.3961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153384,00186800,Grinnell College,Grinnell,1996,1308,1,1,3,4,NA,NA,NA,NA,6464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5505,0.4495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153603,00186900,Iowa State University,Ames,1996,20100,1,1,4,4,NA,NA,NA,NA,6730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153658,00189200,University of Iowa,Iowa City,1996,19188,1,1,4,4,NA,NA,NA,NA,7135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5404,0.4596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155317,00194800,University of Kansas,Lawrence,1996,17918,1,1,4,4,NA,NA,NA,NA,5976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4999,0.5001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155399,00192800,Kansas State University,Manhattan,1996,16119,1,2,4,4,NA,NA,NA,NA,5439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4722,0.5278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
155900,00194000,Southwestern College,Winfield,1996,649,1,1,4,4,NA,NA,NA,NA,3706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5316,0.4684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157085,00198900,University of Kentucky,Lexington,1996,16564,1,1,4,5,NA,NA,NA,NA,6339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5066,0.4934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
